genre,content_count,movie_count,tv_show_count
International Movies,2752,2752,0
Dramas,2427,2427,0
Comedies,1674,1674,0
International TV Shows,1351,0,1351
Documentaries,869,869,0
Action & Adventure,859,859,0
TV Dramas,763,0,763
Independent Movies,756,756,0
Children & Family Movies,641,641,0
Romantic Movies,616,616,0
TV Comedies,581,0,581
Thrillers,577,577,0
Crime TV Shows,470,0,470
Kids' TV,451,0,451
Docuseries,395,0,395
Music & Musicals,375,375,0
Romantic TV Shows,370,0,370
Horror Movies,357,357,0
Stand-Up Comedy,343,343,0
Reality TV,255,0,255
British TV Shows,253,0,253
Sci-Fi & Fantasy,243,243,0
Sports Movies,219,219,0
Anime Series,176,0,176
Spanish-Language TV Shows,174,0,174
TV Action & Adventure,168,0,168
Korean TV Shows,151,0,151
Classic Movies,116,116,0
LGBTQ Movies,102,102,0
TV Mysteries,98,0,98
Science & Nature TV,92,0,92
TV Sci-Fi & Fantasy,84,0,84
TV Horror,75,0,75
Anime Features,71,71,0
Cult Movies,71,71,0
Teen TV Shows,69,0,69
Faith & Spirituality,65,65,0
Movies,57,57,0
TV Thrillers,57,0,57
Stand-Up Comedy & Talk Shows,56,0,56
Classic & Cult TV,28,0,28
TV Shows,16,0,16
